1900-01-08-09-50-32,245.216,2.6,4.065
2012-04-20-00-32-12,127.712,2.5,4.645
2012-04-20-00-53-49,125.472,2.4,4.563
2012-04-20-01-04-45,132.046,2.4,4.51
2012-04-20-01-18-12,149.233,2.7,4.683
2012-04-20-02-01-47,125.406,2.6,4.764
2012-04-20-02-11-48,126.957,2.3,4.451
2012-04-20-02-55-32,127.554,2.2,4.346
2012-04-20-03-17-08,125.176,3.2,5.366
2012-04-20-04-00-52,125.449,2.5,4.664
2012-04-20-04-30-41,127.17,2.7,4.849
2012-04-20-04-31-40,124.977,2.6,4.768
2012-04-20-04-51-43,251.904,2.8,4.237
2012-04-20-04-52-54,128.248,2.4,4.541
2012-04-20-05-17-50,126.558,3.2,5.355
2012-04-20-05-35-13,129.129,2.2,4.334
2012-04-20-05-43-18,127.629,3.6,5.746
2012-04-20-05-45-05,124.665,2.8,4.97
2012-04-20-05-48-08,128.938,3.7,5.835
2012-04-20-05-54-05,127.962,3.5,5.643
2012-04-20-05-55-47,128.876,2.7,4.836
2012-04-20-06-03-50,126.678,2.2,4.354
2012-04-20-06-16-12,273.534,1.8,3.151
2012-04-20-06-22-01,131.575,2.6,4.714
2012-04-20-06-39-20,127.754,2.3,4.445
2012-04-20-06-49-38,124.371,2.4,4.573
2012-04-20-06-59-55,163.498,3.5,5.388
2012-04-20-07-03-39,125.689,2.3,4.462
2012-04-20-07-16-40,128.706,2,4.137
2012-04-20-07-43-21,126.648,2.4,4.554
2012-04-20-07-49-33,127.963,2.6,4.743
2012-04-20-07-55-24,124.959,2,4.168
2012-04-20-08-02-48,126.152,2.2,4.358
2012-04-20-08-27-41,123.354,2.1,4.281
2012-04-20-09-02-24,121.716,2.1,4.295
2012-04-20-09-11-10,128.435,2.4,4.539
2012-04-20-11-47-08,181.036,2.1,3.881
2012-04-20-11-50-36,176.378,2.3,4.109
2012-04-20-11-58-36,179.573,2.2,3.99
2012-04-20-13-19-53,115.645,2.3,4.548
2012-04-20-13-49-35,211.61,2.6,4.219
2012-04-20-14-23-00,124.86,2.9,5.069
2012-04-20-15-15-55,114.731,2.4,4.657
2012-04-20-19-39-16,131.399,4.3,6.415
2012-04-20-20-05-14,124.332,2.4,4.573
2012-04-20-20-09-25,125.022,2.3,4.467
2012-04-20-20-34-26,124.498,2.5,4.672
2012-04-20-20-43-48,125.121,2.9,5.066
2012-04-20-20-45-52,123.035,2.7,4.884
2012-04-20-22-16-03,127.668,3.1,5.245
2012-04-20-22-33-10,130.983,2.6,4.719
2012-04-20-22-48-06,123.651,2.8,4.979
2012-04-21-00-31-31,122.877,2.5,4.685
2012-04-21-02-27-31,126.612,2.4,4.554
2012-04-21-02-40-56,113.191,2.6,4.871
2012-04-21-03-03-18,126.5,3.2,5.355
2012-04-21-03-08-46,127.162,2.5,4.65
2012-04-21-04-47-45,128.778,3.1,5.236
2012-04-21-05-28-54,121.27,2.5,4.699
2012-04-21-06-50-35,254.22,2.5,3.927
2012-04-21-07-15-49,125.075,2.4,4.567
2012-04-21-08-29-01,128.259,2.9,5.041
2012-04-21-09-40-33,121.241,3,5.199
2012-04-21-09-42-24,123.05,3.1,5.284
2012-04-21-09-44-09,126.441,2.8,4.955
2012-04-21-09-47-55,138.733,2.3,4.359
2012-04-21-11-22-07,249.914,3.4,4.845
2012-04-21-14-31-48,123.947,2.4,4.576
2012-04-21-16-34-00,126.613,2.2,4.354
2012-04-21-16-38-54,83.602,2.3,4.887
2012-04-21-16-42-41,128.182,2,4.141
2012-04-21-16-59-12,123.804,2.5,4.677
2012-04-21-17-20-50,127.103,2.7,4.85
2012-04-21-17-32-45,128.886,2.3,4.436
2012-04-21-21-24-16,127.495,2.4,4.547
2012-04-21-22-53-13,127.871,2.1,4.244
2012-04-21-22-54-22,129.914,2.4,4.527
2012-04-21-23-22-59,142.493,2.9,4.931
2012-04-21-23-27-34,129.163,2.1,4.233
2012-04-21-23-44-09,143.993,2.2,4.22
2012-04-22-00-24-41,129.314,2.1,4.232
2012-04-22-01-41-18,128.469,2.2,4.339
2012-04-22-02-33-14,150.653,2.1,4.073
2012-04-22-04-12-31,154.67,2.3,4.245
2012-04-22-04-54-18,179.434,3.1,4.891
2012-04-22-05-20-45,128.036,2.2,4.342
2012-04-22-06-23-06,18.208,2.5,6.675
2012-04-22-07-23-36,134.71,2.2,4.289
2012-04-22-08-11-16,132.591,2.6,4.706
2012-04-22-08-56-42,129.284,2.6,4.732
2012-04-22-08-59-49,127.299,2.6,4.748
2012-04-22-09-15-22,130.564,2.5,4.622
2012-04-22-09-26-17,130.189,2.7,4.825
2012-04-22-09-35-30,183.412,2.5,4.268
2012-04-22-09-40-15,137.355,2.6,4.669
2012-04-22-09-50-41,122.636,2.9,5.087
2012-04-22-10-01-06,129.39,3.4,5.531
2012-04-22-10-09-51,130.296,2.6,4.724
2012-04-22-10-19-01,131.455,2.8,4.915
2012-04-22-10-50-04,132.212,2.8,4.909
2012-04-22-10-52-57,126.741,2.2,4.353
2012-04-22-11-46-06,129.127,3.1,5.234
2012-04-22-12-47-11,122.63,2.8,4.987
2012-04-22-13-33-08,129.395,2.7,4.831
2012-04-22-13-33-34,127.508,2.8,4.947
2012-04-22-14-37-08,187.293,2.1,3.846
2012-04-22-15-07-21,127.19,3,5.149
2012-04-22-15-27-47,131.004,2.6,4.719
2012-04-22-16-09-58,204.076,2.5,4.157
2012-04-22-16-15-28,127.192,2.8,4.949
2012-04-22-16-53-50,128.693,2.1,4.237
2012-04-22-16-56-44,127.265,2.4,4.549
2012-04-22-17-14-08,130.949,2.6,4.719
2012-04-22-18-21-23,127.196,2.4,4.549
2012-04-22-19-51-31,128.581,2.4,4.538
2012-04-22-20-30-05,130.463,2.5,4.623
2012-04-22-22-08-31,145.539,2.4,4.409
2012-04-23-00-09-50,177.208,2.4,4.204
2012-04-23-01-21-42,128.164,2.1,4.241
2012-04-23-02-15-12,126.993,2.5,4.651
2012-04-23-02-26-25,129.688,2.6,4.729
2012-04-23-02-27-24,133.017,2.8,4.903
2012-04-23-03-41-34,129.615,2.3,4.43
2012-04-23-08-13-24,164.053,2.5,4.384
2012-04-23-08-57-52,102.88,2.1,4.47
2012-04-23-09-29-26,130.334,2.8,4.924
2012-04-23-09-29-27,123.243,3.1,5.282
2012-04-23-10-41-32,186.834,2.2,3.949
2012-04-23-10-45-27,123.327,1.7,3.881
2012-04-23-11-20-43,126.32,2.1,4.256
2012-04-23-11-23-06,124.181,2.1,4.274
2012-04-23-11-58-44,74.106,2.3,5.012
2012-04-23-12-19-18,127.168,1.9,4.049
2012-04-23-13-58-50,127.174,2.4,4.549
2012-04-23-14-05-41,187.793,2.1,3.843
2012-04-23-14-25-46,121.634,2.2,4.396
2012-04-23-15-14-12,187.209,2.1,3.846
2012-04-23-15-47-22,77.078,2.6,5.271
2012-04-23-16-57-05,176.823,2.4,4.206
2012-04-23-17-02-03,176.888,2.2,4.006
2012-04-23-19-14-37,128.02,4.3,6.443
2012-04-23-19-20-17,124.717,2.2,4.37
2012-04-23-19-22-58,127.341,2.4,4.548
2012-04-23-19-27-11,127.014,3.2,5.351
2012-04-23-19-31-04,129.335,2.1,4.232
2012-04-23-19-33-13,118.807,2.7,4.92
2012-04-23-19-35-57,126.564,3.2,5.354
2012-04-23-19-41-13,122.778,2.7,4.886
2012-04-23-19-50-42,124.165,2.6,4.774
2012-04-23-19-58-31,125.108,2.1,4.267
2012-04-23-20-27-41,123.832,2.2,4.377
2012-04-23-20-47-41,129.507,3.8,5.93
2012-04-23-20-50-40,122.487,2.7,4.889
2012-04-23-20-51-47,127.03,3,5.151
2012-04-23-20-55-10,122.668,2.6,4.787
2012-04-23-21-13-01,125.211,2,4.166
2012-04-23-21-38-08,123.399,2.5,4.681
2012-04-23-21-52-36,126.785,3.6,5.753
2012-04-23-22-15-53,124.462,2.1,4.272
2012-04-23-22-27-29,121.76,2.5,4.695
2012-04-23-22-50-14,121.805,2.5,4.694
2012-04-23-22-59-27,121.17,2.5,4.7
2012-04-23-23-14-17,122.834,2.2,4.386
2012-04-23-23-15-45,122.236,2.6,4.791
2012-04-23-23-18-00,124.739,1.9,4.07
2012-04-24-00-24-10,124.472,2.8,4.972
2012-04-24-00-26-26,133.796,2.3,4.397
2012-04-24-01-22-47,121.338,2.2,4.398
2012-04-24-02-10-57,121.361,2.3,4.498
2012-04-24-02-37-41,126.091,2.5,4.658
2012-04-24-02-42-41,121.326,2.5,4.699
2012-04-24-02-47-37,127.123,3.6,5.75
2012-04-24-03-10-16,123.68,2.2,4.378
2012-04-24-03-52-17,121.896,2,4.194
2012-04-24-04-22-55,129.467,2.1,4.231
2012-04-24-04-29-45,123.797,2.2,4.377
2012-04-24-04-37-21,123.188,2,4.183
2012-04-24-05-24-05,122.13,2.3,4.492
2012-04-24-05-53-32,121.553,2,4.197
2012-04-24-06-00-02,120.869,2,4.202
2012-04-24-06-06-44,123.122,2.4,4.583
2012-04-24-06-55-41,124.494,2,4.172
2012-04-24-07-45-42,120.262,2.1,4.308
2012-04-24-07-47-12,148.876,2.2,4.185
2012-04-24-08-53-53,126.575,2.5,4.654
2012-04-24-09-32-41,133.566,2.6,4.698
2012-04-24-09-39-21,127.884,2.4,4.544
2012-04-24-11-01-16,185.728,2.6,4.355
2012-04-24-12-18-34,181.866,1.8,3.577
2012-04-24-13-38-25,120.529,2.7,4.905
2012-04-24-13-49-58,138.019,1.7,3.764
